,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Narsaq,60.92,-46.05,57.2,71,75,5.82,GL,1594492678
1,Vaini,-21.2,-175.2,71.6,83,75,10.29,TO,1594492638
2,Mataura,-46.19,168.86,44.71,93,100,4.59,NZ,1594492679
3,Marshfield,44.67,-90.17,82.4,51,40,12.75,US,1594492570
4,Macheng,31.18,115.03,78.3,90,100,3.91,CN,1594492680
5,Hobart,-42.88,147.33,46.0,93,90,2.48,AU,1594492506
6,Acarí,-15.43,-74.62,72.66,38,0,8.08,PE,1594492681
7,Cape Town,-33.93,18.42,53.01,76,40,9.17,ZA,1594492603
8,Punta Arenas,-53.15,-70.92,37.4,69,75,13.87,CL,1594492340
9,Busselton,-33.65,115.33,46.0,72,0,14.41,AU,1594492658
10,Mount Gambier,-37.83,140.77,42.8,100,4,4.7,AU,1594492683
11,Leningradskiy,69.38,178.42,43.21,70,0,13.09,RU,1594492661
12,Fengrun,39.83,118.12,70.45,76,100,6.58,CN,1594492684
13,Cidreira,-30.18,-50.21,58.66,90,100,3.33,BR,1594492684
14,Chulumani,-16.41,-67.53,80.17,29,13,5.59,BO,1594492685
15,Hilo,19.73,-155.09,77.0,69,90,11.41,US,1594492685
16,Khatanga,71.97,102.5,52.52,92,96,11.95,RU,1594492686
17,Ilulissat,69.22,-51.1,46.4,70,75,5.82,GL,1594492686
18,Saldanha,-33.01,17.94,50.0,71,86,2.24,ZA,1594492686
19,Dingle,11.0,122.67,76.87,87,98,1.1,PH,1594492656
20,Avarua,-21.21,-159.78,73.4,83,100,2.24,CK,1594492688
21,Marawi,8.0,124.29,75.99,91,100,3.0,PH,1594492392
22,Inyonga,-6.72,32.07,70.84,49,63,3.06,TZ,1594492689
23,San Felipe,10.34,-68.74,79.93,83,99,6.46,VE,1594492689
24,Pidhorodne,48.58,35.11,71.6,53,0,6.71,UA,1594492690
25,Tsaratanana,-16.78,47.65,67.46,66,0,13.82,MG,1594492691
26,Ambilobe,-13.2,49.05,70.05,81,79,3.53,MG,1594492691
27,Uttaradit,17.67,100.5,82.0,72,100,1.97,TH,1594492692
28,Caravelas,-17.71,-39.25,76.05,70,0,5.91,BR,1594492692
29,Curup,-3.47,102.53,67.68,93,13,2.77,ID,1594492692
30,Tyrma,50.08,132.17,59.83,94,2,1.7,RU,1594492693
31,East London,-33.02,27.91,56.84,63,92,21.74,ZA,1594492588
32,Constitución,-35.33,-72.42,52.7,62,100,8.21,CL,1594492694
33,Tura,25.52,90.22,74.79,98,99,7.29,IN,1594492694
34,Buin,-33.73,-70.75,59.0,58,90,0.74,CL,1594492695
35,Portland,45.52,-122.68,73.99,56,40,4.7,US,1594492680
36,Lebu,-37.62,-73.65,51.66,79,100,12.84,CL,1594492630
37,Kruisfontein,-34.0,24.73,47.07,68,0,10.74,ZA,1594492697
38,Rikitea,-23.12,-134.97,68.9,68,41,17.72,PF,1594492671
39,New Norfolk,-42.78,147.06,45.0,91,85,1.48,AU,1594492657
40,Thompson,55.74,-97.86,60.8,72,90,4.7,CA,1594492698
41,Te Anau,-45.42,167.72,45.37,90,100,1.23,NZ,1594492698
42,Kapaa,22.08,-159.32,80.6,69,40,16.11,US,1594492699
43,Fairbanks,64.84,-147.72,63.0,58,1,4.54,US,1594492560
44,Yumen,40.28,97.2,66.9,38,100,4.94,CN,1594492700
45,Tuatapere,-46.13,167.68,46.27,84,95,6.35,NZ,1594492676
46,Saint Paul Harbor,57.79,-152.41,58.86,74,55,2.57,US,1594492701
47,Mossamedes,-15.2,12.15,64.56,70,0,7.07,AO,1594492702
48,Ushuaia,-54.8,-68.3,35.6,69,20,9.17,AR,1594492627
49,Tasiilaq,65.61,-37.64,38.8,80,27,6.31,GL,1594492703
50,Arkadak,51.93,43.5,62.29,81,0,7.9,RU,1594492704
51,Roald,62.58,6.13,53.6,71,75,16.11,NO,1594492419
52,Kahului,20.89,-156.47,82.4,54,40,18.34,US,1594492543
53,Nikolskoye,59.7,30.79,62.01,67,75,13.42,RU,1594492706
54,Thunder Bay,48.4,-89.32,75.2,53,75,6.93,CA,1594492706
55,Camacha,33.08,-16.33,71.6,73,40,16.11,PT,1594492706
56,Smithers,54.78,-127.17,57.2,71,75,6.93,CA,1594492707
57,Forestville,38.85,-76.88,91.4,69,75,9.17,US,1594492707
58,Apac,1.98,32.54,66.22,90,90,1.36,UG,1594492708
59,Carutapera,-1.2,-46.02,83.66,69,100,10.54,BR,1594492708
60,Kaitangata,-46.28,169.85,50.0,60,100,1.99,NZ,1594492677
61,Yulara,-25.24,130.99,37.4,64,0,9.17,AU,1594492709
62,Morgan City,29.7,-91.21,93.99,70,40,6.93,US,1594492710
63,Marzuq,14.4,46.47,91.09,17,99,3.87,YE,1594492710
64,Antalaha,-14.9,50.28,71.51,86,70,11.68,MG,1594492711
65,Jamestown,42.1,-79.24,69.01,93,90,23.04,US,1594492652
66,Tabuk,17.42,121.44,75.2,87,98,2.15,PH,1594492711
67,Kungurtug,50.6,97.52,52.5,83,100,1.52,RU,1594492712
68,Raja,8.46,25.68,71.35,93,100,3.31,SS,1594492712
69,Bar Harbor,44.39,-68.2,75.2,88,90,11.41,US,1594492659
70,Fairmont,39.49,-80.14,77.0,69,90,12.75,US,1594492713
71,George Town,5.41,100.34,80.6,94,20,4.7,MY,1594492500
72,Tiksi,71.69,128.87,46.58,92,100,2.86,RU,1594492672
73,Vila Franca do Campo,37.72,-25.43,71.6,64,75,6.93,PT,1594492621
74,Nelson Bay,-32.72,152.15,51.01,100,100,5.82,AU,1594492715
75,Kautokeino,69.01,23.04,55.11,63,4,10.25,NO,1594492715
76,Ol'ga,43.74,135.29,57.69,89,96,4.76,RU,1594492716
77,Albany,42.6,-73.97,90.0,70,84,3.0,US,1594492716
78,Alofi,-19.06,-169.92,73.4,94,100,9.17,NU,1594492717
79,Baie-Comeau,49.22,-68.15,66.2,82,90,13.87,CA,1594492718
80,Avera,33.19,-82.53,91.4,46,40,5.82,US,1594492662
81,Hong Kong,22.29,114.16,86.0,70,47,11.01,HK,1594492670
82,Chokurdakh,70.63,147.92,46.76,75,81,9.15,RU,1594492719
83,Atuona,-9.8,-139.03,79.16,79,11,18.43,PF,1594492644
84,Kiyasovo,56.35,53.12,66.0,76,25,5.28,RU,1594492720
85,Stornoway,58.21,-6.39,55.99,76,75,18.34,GB,1594492512
86,New Ulm,44.31,-94.46,82.99,72,10,1.99,US,1594492721
87,Saskylakh,71.92,114.08,62.98,86,1,8.05,RU,1594492646
88,Icatu,-2.78,-44.07,87.8,62,40,11.41,BR,1594492722
89,Havre-St-Pierre,50.23,-63.6,78.8,61,1,10.29,CA,1594492722
90,Aripuanã,-9.17,-60.63,96.42,27,0,2.46,BR,1594492723
91,Bambous Virieux,-20.34,57.76,72.0,68,40,19.46,MU,1594492724
92,Tual,-5.67,132.75,79.5,84,100,21.65,ID,1594492724
93,Belaya Gora,68.53,146.42,65.64,59,100,4.43,RU,1594492725
94,Lompoc,34.64,-120.46,75.99,60,0,12.75,US,1594492599
95,Montevideo,-34.83,-56.17,55.4,35,0,9.17,UY,1594492726
96,Yellowknife,62.46,-114.35,72.0,60,75,10.29,CA,1594492499
97,Beloha,-25.17,45.05,69.21,62,0,4.85,MG,1594492727
98,Bluff,-46.6,168.33,50.59,78,100,21.09,NZ,1594492666
99,Tilichiki,60.47,166.1,49.55,97,100,2.55,RU,1594492728
100,Port Alfred,-33.59,26.89,51.01,96,100,4.0,ZA,1594492728
101,Bengkulu,-3.8,102.27,76.08,87,30,3.94,ID,1594492673
102,Longyearbyen,78.22,15.64,46.4,65,75,23.04,SJ,1594492729
103,Lishui,28.46,119.91,78.22,86,93,2.3,CN,1594492730
104,Gwadar,25.12,62.33,85.1,80,98,9.37,PK,1594492719
105,Bilma,18.69,12.92,98.56,16,71,6.49,NE,1594492730
106,Portsmouth,50.8,-1.09,66.99,69,1,1.01,GB,1594492610
107,Adrar,20.5,-10.07,100.53,17,0,9.86,MR,1594492732
108,Mahébourg,-20.41,57.7,69.8,68,40,19.46,MU,1594492732
109,Shimoda,34.67,138.95,73.0,94,100,1.01,JP,1594492733
110,Murud,18.33,72.97,80.94,85,95,6.87,IN,1594492733
111,Inhambane,-23.86,35.38,77.0,73,40,18.34,MZ,1594492734
112,Tuktoyaktuk,69.45,-133.04,42.8,87,20,3.36,CA,1594492734
113,São João da Barra,-21.64,-41.05,77.0,57,0,16.11,BR,1594492735
114,Lumeje,-11.55,20.78,68.16,29,0,4.94,AO,1594492735
115,Ribeira Grande,38.52,-28.7,73.4,78,40,6.93,PT,1594492628
116,Vrangel',42.73,133.08,60.55,92,85,1.97,RU,1594492736
117,Forsytheganj,52.63,29.73,66.79,95,100,5.73,BY,1594492737
118,Katsuura,35.13,140.3,77.0,94,75,5.82,JP,1594492737
119,Quatre Cocos,-20.21,57.76,72.0,68,40,19.46,MU,1594492738
120,Oistins,13.07,-59.53,84.2,79,75,18.34,BB,1594492738
121,Salalah,17.02,54.09,80.6,100,90,5.82,OM,1594492646
122,Palmer,42.16,-72.33,86.0,62,90,12.75,US,1594492739
123,Sola,-13.88,167.55,79.57,83,87,25.97,VU,1594492739
124,Castro,-24.79,-50.01,68.61,66,0,10.33,BR,1594492370
125,Aguadilla,18.43,-67.15,90.0,72,1,17.22,PR,1594492740
126,Puerto Colombia,10.99,-74.95,75.2,94,75,5.82,CO,1594492554
127,Soria,41.67,-2.67,75.0,51,32,10.0,ES,1594492741
128,Āsbe Teferī,9.08,40.87,66.38,74,80,8.93,ET,1594492742
129,Waipawa,-41.41,175.52,51.8,71,0,17.22,NZ,1594492707
